counts,number of items in equivalence class,isoforms in equivalence class
66897,1,NA
61263,2,"ENST00000329251,ENST00000496634"
15353,1,ENST00000536684
12320,7,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000540430,ENST00000545215"
12097,1,ENST00000393067
10440,5,"ENST00000345732,ENST00000389939,ENST00000532073,ENST00000534668,ENST00000674194"
10038,3,"ENST00000321153,ENST00000530398,ENST00000530797"
9317,2,"ENST00000228140,ENST00000525634"
8807,2,"ENST00000527673,ENST00000532567"
7457,8,"ENST00000227378,ENST00000524552,ENST00000526110,ENST00000526686,ENST00000532636,ENST00000533540,ENST00000534319,ENST00000534624"
7386,1,ENST00000260197
6755,3,"ENST00000527673,ENST00000527791,ENST00000532567"
6028,11,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000486690,ENST00000536528,ENST00000540430,ENST00000542179,ENST00000543695,ENST00000545215"
5954,1,ENST00000527673
5545,7,"ENST00000314138,ENST00000524496,ENST00000526562,ENST00000530022,ENST00000530913,ENST00000531978,ENST00000534599"
5520,2,"ENST00000321153,ENST00000530797"
5325,4,"ENST00000339995,ENST00000396525,ENST00000525681,ENST00000526148"
5318,13,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525690,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000530170,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
5270,8,"ENST00000227378,ENST00000453788,ENST00000526110,ENST00000528292,ENST00000532636,ENST00000533540,ENST00000534319,ENST00000534624"
5226,6,"ENST00000345732,ENST00000389939,ENST00000528313,ENST00000532073,ENST00000534668,ENST00000674194"
5188,1,ENST00000379965
5109,1,ENST00000525634
5056,1,ENST00000308595
4942,7,"ENST00000379412,ENST00000422447,ENST00000430553,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000545215"
4843,10,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000530721,ENST00000531188,ENST00000532872"
4679,2,"ENST00000308162,ENST00000525451"
4058,2,"ENST00000263398,ENST00000428726"
4049,5,"ENST00000314138,ENST00000524496,ENST00000530022,ENST00000531978,ENST00000534599"
3990,1,ENST00000378024
3911,11,"ENST00000308162,ENST00000524553,ENST00000525451,ENST00000526975,ENST00000527344,ENST00000530413,ENST00000531407,ENST00000531413,ENST00000532134,ENST00000534769,ENST00000534784"
3830,7,"ENST00000227378,ENST00000453788,ENST00000526110,ENST00000528292,ENST00000532636,ENST00000534319,ENST00000534624"
